Type,Age,BreedPurity,Gender,ColorPurity,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,AdoptionSpeed
Cat,3,Pure,Male,Mixed,Small,Short,No,No,No,Healthy,1,100,Selangor,0,1,Average
Cat,1,Pure,Male,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,0,2,Instant
Dog,1,Pure,Male,Mixed,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,7,Slow
Dog,4,Pure,Female,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,150,Kuala Lumpur,0,8,Average
Dog,1,Pure,Male,Pure,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,3,Average
Cat,3,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,2,Average
Cat,12,Mixed,Male,Pure,Medium,Long,No,No,Not Sure,Healthy,1,300,Selangor,0,3,Fast
Dog,0,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,6,0,Selangor,0,9,Slow
Cat,2,Pure,Female,Pure,Medium,Medium,No,No,No,Healthy,1,0,Selangor,0,6,Fast
Cat,12,Pure,Female,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,0,2,Not Adopted
Dog,2,Pure,Male,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,7,Fast
Cat,3,Pure,Female,Mixed,Large,Long,Yes,Yes,No,Healthy,1,50,Selangor,0,2,Fast
Dog,2,Pure,Male,Mixed,Medium,Long,Yes,Yes,No,Healthy,1,0,Selangor,0,1,Average
Cat,2,Pure,Mixed,Mixed,Small,Medium,No,No,Not Sure,Healthy,7,0,Selangor,0,1,Fast
Dog,3,Pure,Female,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,0,2,Average
Dog,78,Mixed,Male,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,0,2,Not Adopted
Cat,6,Pure,Female,Pure,Small,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,1,Slow
Dog,8,Mixed,Female,Pure,Medium,Short,No,Yes,Yes,Healthy,1,10,Perak,0,2,Not Adopted
Dog,2,Pure,Female,Pure,Medium,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,8,Average
Cat,1,Pure,Mixed,Mixed,Small,Short,No,No,No,Healthy,5,0,Selangor,0,1,Not Adopted
Dog,12,Pure,Female,Mixed,Medium,Medium,No,Yes,Yes,Healthy,1,0,Selangor,0,7,Average
Dog,3,Pure,Female,Pure,Medium,Short,No,Yes,No,Healthy,3,0,Selangor,0,5,Not Adopted
Cat,0,Pure,Mixed,Mixed,Medium,Medium,No,No,Not Sure,Healthy,10,0,Kuala Lumpur,0,0,Not Adopted
Dog,10,Mixed,Female,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,0,0,Not Adopted
Cat,3,Pure,Male,Mixed,Small,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,19,Fast
Cat,36,Mixed,Male,Pure,Large,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,0,3,Average
Cat,2,Mixed,Male,Pure,Medium,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,0,11,Fast
Cat,1,Pure,Female,Pure,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,2,Average
Dog,14,Pure,Male,Mixed,Large,Short,Yes,Yes,No,Healthy,1,1,Selangor,0,0,Slow
Cat,1,Pure,Female,Mixed,Small,Short,No,Yes,No,Healthy,1,0,Pulau Pinang,0,1,Average
Dog,4,Mixed,Mixed,Mixed,Small,Medium,Yes,Yes,Yes,Healthy,2,0,Selangor,0,5,Slow
Cat,1,Pure,Male,Pure,Small,Short,No,No,No,Healthy,1,0,Terengganu,0,1,Fast
Dog,24,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,5,0,Selangor,0,1,Not Adopted
Cat,4,Pure,Female,Mixed,Small,Short,No,No,No,Healthy,2,0,Selangor,0,7,Slow
Cat,3,Pure,Female,Mixed,Small,Short,Yes,No,No,Healthy,1,1,Pulau Pinang,0,5,Not Adopted
Cat,12,Pure,Female,Pure,Medium,Long,No,No,No,Healthy,1,0,Selangor,0,5,Fast
Cat,24,Mixed,Female,Mixed,Medium,Medium,Yes,Yes,Not Sure,Healthy,3,0,Selangor,0,2,Not Adopted
Cat,2,Pure,Female,Pure,Small,Medium,No,No,No,Healthy,1,0,Selangor,0,3,Fast
Dog,12,Pure,Male,Pure,Medium,Short,No,No,No,Healthy,1,0,Johor,0,4,Fast
Dog,12,Pure,Male,Pure,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,1,Slow
Cat,2,Mixed,Female,Pure,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,0,13,Slow
Cat,1,Pure,Mixed,Mixed,Small,Short,No,No,No,Healthy,3,0,Selangor,0,1,Average
Cat,24,Mixed,Female,Pure,Medium,Long,Not Sure,Not Sure,Not Sure,Minor Injury,6,0,Selangor,0,1,Fast
Dog,5,Mixed,Male,Pure,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,6,Slow
Dog,12,Pure,Male,Mixed,Medium,Medium,No,Yes,Yes,Healthy,1,0,Johor,0,2,Not Adopted
Dog,4,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,2,0,Selangor,0,11,Not Adopted
Cat,5,Pure,Male,Mixed,Small,Long,Yes,Yes,No,Healthy,1,0,Selangor,0,13,Slow
Dog,72,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,3,Not Adopted
Dog,1,Pure,Mixed,Mixed,Medium,Short,Not Sure,Not Sure,No,Healthy,9,0,Selangor,0,3,Slow
Cat,60,Pure,Male,Mixed,Large,Long,Yes,Yes,Yes,Healthy,1,0,Selangor,0,3,Average
Dog,1,Mixed,Female,Pure,Medium,Medium,No,Yes,Yes,Healthy,2,0,Selangor,0,13,Slow
Cat,6,Pure,Male,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,100,Kuala Lumpur,0,1,Not Adopted
Dog,2,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,3,Slow
Dog,12,Mixed,Female,Pure,Medium,Medium,Yes,Yes,Yes,Healthy,2,0,Selangor,0,5,Not Adopted
Dog,3,Pure,Female,Mixed,Small,Short,Not Sure,Not Sure,Not Sure,Minor Injury,1,0,Selangor,0,0,Slow
Cat,3,Pure,Mixed,Mixed,Small,Medium,Yes,Yes,No,Healthy,2,0,Kuala Lumpur,0,15,Average
Cat,5,Pure,Male,Mixed,Medium,Short,No,Yes,No,Healthy,1,30,Selangor,0,4,Not Adopted
Dog,24,Pure,Female,Pure,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,0,2,Average
Dog,4,Pure,Male,Pure,Large,Medium,No,No,No,Healthy,1,0,Selangor,0,3,Fast
Cat,2,Pure,Mixed,Mixed,Small,Short,Not Sure,Not Sure,Not Sure,Healthy,6,0,Kuala Lumpur,0,1,Not Adopted
Cat,1,Pure,Female,Pure,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,5,Fast
Dog,9,Pure,Male,Mixed,Medium,Short,Yes,Yes,Not Sure,Healthy,1,0,Pulau Pinang,0,2,Not Adopted
Dog,60,Pure,Female,Mixed,Medium,Short,No,No,Yes,Healthy,1,0,Selangor,0,2,Not Adopted
Dog,2,Pure,Male,Mixed,Medium,Medium,No,No,No,Healthy,1,0,Pulau Pinang,0,5,Average
Dog,2,Mixed,Mixed,Mixed,Medium,Long,Yes,Yes,No,Healthy,7,0,Selangor,0,21,Slow
Dog,48,Pure,Female,Mixed,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,5,Fast
Cat,3,Pure,Female,Pure,Medium,Short,No,No,No,Healthy,1,0,Melaka,0,1,Not Adopted
Cat,4,Pure,Male,Mixed,Small,Short,No,Yes,No,Healthy,2,0,Kuala Lumpur,0,1,Average
Cat,9,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,1,Average
Dog,62,Pure,Male,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,3,Not Adopted
